E_MeV_u,LET_keV_um,a0_nm,beta,ks_Gauss,ks_Geiss,particle,scale,voltage_V,water_LET_keV_um
252.0,0.00041321274423029326,8.5,0.0,1.0001474210565606,1.0000271751398415,proton,3.0,200.0,0.38743345234974225
2.0,1.1273856017838932,4.5,0.0,1.0570519830956466,1.1399553373969011,neon,3.0,300.0,1082.4321135055063
2.0,1.1273856017838932,5.0,0.0,1.0570519830956466,1.1312109589511385,neon,3.0,300.0,1082.4321135055063
2.0,1.1273856017838932,5.5,0.0,1.0570519830956466,1.1205518552761997,neon,3.0,300.0,1082.4321135055063
2.0,1.1273856017838932,6.0,0.0,1.0570519830956466,1.111995983512,neon,3.0,300.0,1082.4321135055063
2.0,1.1273856017838932,6.5,0.0,1.0570519830956466,1.1056917617023116,neon,3.0,300.0,1082.4321135055063
2.0,1.1273856017838932,7.0,0.0,1.0570519830956466,1.1009622102551972,neon,3.0,300.0,1082.4321135055063
2.0,1.1273856017838932,7.5,0.0,1.0570519830956466,1.0962718012001775,neon,3.0,300.0,1082.4321135055063
2.0,1.1273856017838932,8.0,0.0,1.0570519830956466,1.0919698507105515,neon,3.0,300.0,1082.4321135055063
2.0,1.1273856017838932,8.5,0.0,1.0570519830956466,1.0864110865437508,neon,3.0,300.0,1082.4321135055063
52.0,0.12752101471001911,4.5,0.0,1.0099282681312924,1.011023031068854,neon,3.0,300.0,119.8740357008332
52.0,0.12752101471001911,5.0,0.0,1.0099282681312924,1.0101713060997315,neon,3.0,300.0,119.8740357008332
52.0,0.12752101471001911,5.5,0.0,1.0099282681312924,1.009184940989797,neon,3.0,300.0,119.8740357008332
52.0,0.12752101471001911,6.0,0.0,1.0099282681312924,1.0084039627889052,neon,3.0,300.0,119.8740357008332
52.0,0.12752101471001911,6.5,0.0,1.0099282681312924,1.0078294976331121,neon,3.0,300.0,119.8740357008332
52.0,0.12752101471001911,7.0,0.0,1.0099282681312924,1.0073970626659763,neon,3.0,300.0,119.8740357008332
52.0,0.12752101471001911,7.5,0.0,1.0099282681312924,1.0069787537491155,neon,3.0,300.0,119.8740357008332
52.0,0.12752101471001911,8.0,0.0,1.0099282681312924,1.0066004519002505,neon,3.0,300.0,119.8740357008332
52.0,0.12752101471001911,8.5,0.0,1.0099282681312924,1.006133729818938,neon,3.0,300.0,119.8740357008332
102.0,0.07605304543775501,4.5,0.0,1.0069169242141944,1.0061871294486988,neon,3.0,300.0,71.40984517274795
102.0,0.07605304543775501,5.0,0.0,1.0069169242141944,1.0057048893176372,neon,3.0,300.0,71.40984517274795
102.0,0.07605304543775501,5.5,0.0,1.0069169242141944,1.0051485592806013,neon,3.0,300.0,71.40984517274795
102.0,0.07605304543775501,6.0,0.0,1.0069169242141944,1.0047082376960006,neon,3.0,300.0,71.40984517274795
102.0,0.07605304543775501,6.5,0.0,1.0069169242141944,1.0043841758883034,neon,3.0,300.0,71.40984517274795
102.0,0.07605304543775501,7.0,0.0,1.0069169242141944,1.0041400435582581,neon,3.0,300.0,71.40984517274795
102.0,0.07605304543775501,7.5,0.0,1.0069169242141944,1.0039042805342209,neon,3.0,300.0,71.40984517274795
102.0,0.07605304543775501,8.0,0.0,1.0069169242141944,1.0036912287337685,neon,3.0,300.0,71.40984517274795
